INFO:root:Using Tensorboard, logs will be saved in workspace/20210315_1/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.23s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.04s)
INFO:root:Training batch size: 100
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/300)| lr:1.44e-02| loss_qfl:0.1114| loss_bbox:1.6095| loss_dfl:0.5178| 
INFO:root:warmup|Iter(11/300)| lr:1.86e-02| loss_qfl:0.1822| loss_bbox:1.4186| loss_dfl:0.4294| 
INFO:root:warmup|Iter(21/300)| lr:2.28e-02| loss_qfl:0.2474| loss_bbox:1.1178| loss_dfl:0.3235| 
INFO:root:warmup|Iter(29/300)| lr:2.62e-02| loss_qfl:0.2873| loss_bbox:0.9329| loss_dfl:0.2823| 
INFO:root:warmup|Iter(39/300)| lr:3.04e-02| loss_qfl:0.3397| loss_bbox:0.8276| loss_dfl:0.2499| 
INFO:root:warmup|Iter(49/300)| lr:3.46e-02| loss_qfl:0.3804| loss_bbox:0.7261| loss_dfl:0.2277| 
INFO:root:warmup|Iter(57/300)| lr:3.79e-02| loss_qfl:0.4063| loss_bbox:0.6885| loss_dfl:0.2210| 
INFO:root:warmup|Iter(67/300)| lr:4.21e-02| loss_qfl:0.3982| loss_bbox:0.6689| loss_dfl:0.2189| 
INFO:root:warmup|Iter(77/300)| lr:4.63e-02| loss_qfl:0.3673| loss_bbox:0.6587| loss_dfl:0.2134| 
INFO:root:warmup|Iter(85/300)| lr:4.97e-02| loss_qfl:0.3761| loss_bbox:0.6166| loss_dfl:0.2071| 
INFO:root:warmup|Iter(95/300)| lr:5.39e-02| loss_qfl:0.3967| loss_bbox:0.6208| loss_dfl:0.2018| 
INFO:root:warmup|Iter(105/300)| lr:5.81e-02| loss_qfl:0.3941| loss_bbox:0.6155| loss_dfl:0.2069| 
INFO:root:warmup|Iter(113/300)| lr:6.15e-02| loss_qfl:0.3335| loss_bbox:0.6022| loss_dfl:0.2044| 
INFO:root:warmup|Iter(123/300)| lr:6.57e-02| loss_qfl:0.3244| loss_bbox:0.5786| loss_dfl:0.1964| 
INFO:root:warmup|Iter(133/300)| lr:6.99e-02| loss_qfl:0.3534| loss_bbox:0.5724| loss_dfl:0.1969| 
INFO:root:warmup|Iter(141/300)| lr:7.32e-02| loss_qfl:0.3333| loss_bbox:0.5546| loss_dfl:0.1931| 
INFO:root:warmup|Iter(151/300)| lr:7.74e-02| loss_qfl:0.2936| loss_bbox:0.5406| loss_dfl:0.1924| 
INFO:root:warmup|Iter(161/300)| lr:8.16e-02| loss_qfl:0.3168| loss_bbox:0.5329| loss_dfl:0.1883| 
