INFO:root:Using Tensorboard, logs will be saved in workspace/nanodet_t/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.17s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.03s)
INFO:root:Training batch size: 40
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/300)| lr:1.86e-03| loss_qfl:0.0866| loss_bbox:1.6121| loss_dfl:0.5200| 
INFO:root:warmup|Iter(11/300)| lr:6.48e-03| loss_qfl:0.0995| loss_bbox:1.6014| loss_dfl:0.4972| 
INFO:root:warmup|Iter(21/300)| lr:1.11e-02| loss_qfl:0.2483| loss_bbox:1.3175| loss_dfl:0.3845| 
INFO:root:warmup|Iter(31/300)| lr:1.57e-02| loss_qfl:0.2064| loss_bbox:1.2202| loss_dfl:0.3450| 
INFO:root:warmup|Iter(41/300)| lr:2.03e-02| loss_qfl:0.2636| loss_bbox:1.0255| loss_dfl:0.3049| 
INFO:root:warmup|Iter(51/300)| lr:2.50e-02| loss_qfl:0.3114| loss_bbox:0.8995| loss_dfl:0.2674| 
INFO:root:warmup|Iter(61/300)| lr:2.96e-02| loss_qfl:0.3527| loss_bbox:0.8266| loss_dfl:0.2521| 
INFO:root:warmup|Iter(71/300)| lr:3.42e-02| loss_qfl:0.3508| loss_bbox:0.7747| loss_dfl:0.2407| 
INFO:root:warmup|Iter(81/300)| lr:3.88e-02| loss_qfl:0.4044| loss_bbox:0.7475| loss_dfl:0.2351| 
INFO:root:warmup|Iter(91/300)| lr:4.34e-02| loss_qfl:0.4011| loss_bbox:0.7280| loss_dfl:0.2323| 
INFO:root:warmup|Iter(101/300)| lr:4.81e-02| loss_qfl:0.3952| loss_bbox:0.7147| loss_dfl:0.2251| 
INFO:root:warmup|Iter(111/300)| lr:5.27e-02| loss_qfl:0.3635| loss_bbox:0.6854| loss_dfl:0.2226| 
INFO:root:warmup|Iter(121/300)| lr:5.73e-02| loss_qfl:0.4121| loss_bbox:0.6508| loss_dfl:0.2153| 
INFO:root:warmup|Iter(131/300)| lr:6.19e-02| loss_qfl:0.3343| loss_bbox:0.7063| loss_dfl:0.2246| 
INFO:root:warmup|Iter(141/300)| lr:6.65e-02| loss_qfl:0.3302| loss_bbox:0.6483| loss_dfl:0.2112| 
INFO:root:warmup|Iter(151/300)| lr:7.12e-02| loss_qfl:0.3305| loss_bbox:0.6162| loss_dfl:0.2031| 
INFO:root:warmup|Iter(161/300)| lr:7.58e-02| loss_qfl:0.3311| loss_bbox:0.6618| loss_dfl:0.2087| 
INFO:root:warmup|Iter(171/300)| lr:8.04e-02| loss_qfl:0.3774| loss_bbox:0.6087| loss_dfl:0.2073| 
INFO:root:warmup|Iter(181/300)| lr:8.50e-02| loss_qfl:0.3646| loss_bbox:0.5970| loss_dfl:0.2050| 
INFO:root:warmup|Iter(191/300)| lr:8.96e-02| loss_qfl:0.3693| loss_bbox:0.6302| loss_dfl:0.2057| 
INFO:root:warmup|Iter(201/300)| lr:9.43e-02| loss_qfl:0.3701| loss_bbox:0.5951| loss_dfl:0.2024| 
INFO:root:warmup|Iter(211/300)| lr:9.89e-02| loss_qfl:0.3153| loss_bbox:0.6000| loss_dfl:0.2030| 
INFO:root:warmup|Iter(221/300)| lr:1.04e-01| loss_qfl:0.3382| loss_bbox:0.5759| loss_dfl:0.1980| 
INFO:root:warmup|Iter(231/300)| lr:1.08e-01| loss_qfl:0.3226| loss_bbox:0.5809| loss_dfl:0.1966| 
INFO:root:warmup|Iter(241/300)| lr:1.13e-01| loss_qfl:0.3039| loss_bbox:0.5705| loss_dfl:0.1954| 
INFO:root:warmup|Iter(251/300)| lr:1.17e-01| loss_qfl:0.3080| loss_bbox:0.5905| loss_dfl:0.1970| 
INFO:root:warmup|Iter(261/300)| lr:1.22e-01| loss_qfl:0.2952| loss_bbox:0.6008| loss_dfl:0.2025| 
INFO:root:warmup|Iter(271/300)| lr:1.27e-01| loss_qfl:0.3105| loss_bbox:0.6100| loss_dfl:0.2052| 
INFO:root:warmup|Iter(281/300)| lr:1.31e-01| loss_qfl:0.3074| loss_bbox:0.5673| loss_dfl:0.1925| 
INFO:root:warmup|Iter(291/300)| lr:1.36e-01| loss_qfl:0.2776| loss_bbox:0.5440| loss_dfl:0.1913| 
INFO:root:train|Epoch1/190|Iter1(0/70)| lr:1.40e-01| loss_qfl:0.2699| loss_bbox:0.5314| loss_dfl:0.1851| 
INFO:root:train|Epoch1/190|Iter11(10/70)| lr:1.40e-01| loss_qfl:0.2796| loss_bbox:0.5716| loss_dfl:0.1962| 
INFO:root:train|Epoch1/190|Iter21(20/70)| lr:1.40e-01| loss_qfl:0.2575| loss_bbox:0.5580| loss_dfl:0.1911| 
INFO:root:train|Epoch1/190|Iter31(30/70)| lr:1.40e-01| loss_qfl:0.2713| loss_bbox:0.5548| loss_dfl:0.1914| 
