INFO:root:Using Tensorboard, logs will be saved in workspace/20210407_1/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.17s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.03s)
INFO:root:Training batch size: 50
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/150)| lr:1.48e-02| loss_qfl:0.0766| loss_bbox:1.6527| loss_dfl:0.5205| 
INFO:root:warmup|Iter(11/150)| lr:2.32e-02| loss_qfl:0.1315| loss_bbox:1.5516| loss_dfl:0.4747| 
INFO:root:warmup|Iter(21/150)| lr:3.16e-02| loss_qfl:0.2441| loss_bbox:1.3282| loss_dfl:0.3643| 
INFO:root:warmup|Iter(31/150)| lr:4.00e-02| loss_qfl:0.2232| loss_bbox:1.2920| loss_dfl:0.3544| 
INFO:root:warmup|Iter(41/150)| lr:4.84e-02| loss_qfl:0.2396| loss_bbox:1.2460| loss_dfl:0.3370| 
INFO:root:warmup|Iter(51/150)| lr:5.68e-02| loss_qfl:0.2904| loss_bbox:1.0910| loss_dfl:0.3207| 
INFO:root:warmup|Iter(57/150)| lr:6.19e-02| loss_qfl:0.3314| loss_bbox:1.0029| loss_dfl:0.3006| 
INFO:root:warmup|Iter(67/150)| lr:7.03e-02| loss_qfl:0.4290| loss_bbox:0.9564| loss_dfl:0.2792| 
INFO:root:warmup|Iter(77/150)| lr:7.87e-02| loss_qfl:0.4648| loss_bbox:0.8849| loss_dfl:0.2665| 
INFO:root:warmup|Iter(87/150)| lr:8.71e-02| loss_qfl:0.5217| loss_bbox:0.8214| loss_dfl:0.2635| 
INFO:root:warmup|Iter(97/150)| lr:9.55e-02| loss_qfl:0.4895| loss_bbox:0.8013| loss_dfl:0.2561| 
INFO:root:warmup|Iter(107/150)| lr:1.04e-01| loss_qfl:0.5516| loss_bbox:0.7539| loss_dfl:0.2492| 
INFO:root:warmup|Iter(113/150)| lr:1.09e-01| loss_qfl:0.4469| loss_bbox:0.7415| loss_dfl:0.2442| 
INFO:root:warmup|Iter(123/150)| lr:1.17e-01| loss_qfl:0.4150| loss_bbox:0.7233| loss_dfl:0.2362| 
INFO:root:warmup|Iter(133/150)| lr:1.26e-01| loss_qfl:0.4076| loss_bbox:0.6892| loss_dfl:0.2253| 
INFO:root:warmup|Iter(143/150)| lr:1.34e-01| loss_qfl:0.5164| loss_bbox:0.6820| loss_dfl:0.2258| 
INFO:root:train|Epoch1/100|Iter1(0/56)| lr:1.40e-01| loss_qfl:0.3946| loss_bbox:0.6929| loss_dfl:0.2362| 
INFO:root:train|Epoch1/100|Iter11(10/56)| lr:1.40e-01| loss_qfl:0.4144| loss_bbox:0.6823| loss_dfl:0.2266| 
INFO:root:train|Epoch1/100|Iter21(20/56)| lr:1.40e-01| loss_qfl:0.3993| loss_bbox:0.6327| loss_dfl:0.2142| 
INFO:root:train|Epoch1/100|Iter31(30/56)| lr:1.40e-01| loss_qfl:0.3970| loss_bbox:0.6453| loss_dfl:0.2183| 
INFO:root:train|Epoch1/100|Iter41(40/56)| lr:1.40e-01| loss_qfl:0.4072| loss_bbox:0.6292| loss_dfl:0.2103| 
INFO:root:train|Epoch1/100|Iter51(50/56)| lr:1.40e-01| loss_qfl:0.4317| loss_bbox:0.6107| loss_dfl:0.2052| 
INFO:root:train|Epoch2/100|Iter57(0/56)| lr:1.40e-01| loss_qfl:0.3498| loss_bbox:0.6772| loss_dfl:0.2232| 
INFO:root:train|Epoch2/100|Iter67(10/56)| lr:1.40e-01| loss_qfl:0.3900| loss_bbox:0.6449| loss_dfl:0.2119| 
INFO:root:train|Epoch2/100|Iter77(20/56)| lr:1.40e-01| loss_qfl:0.4002| loss_bbox:0.6283| loss_dfl:0.2134| 
INFO:root:train|Epoch2/100|Iter87(30/56)| lr:1.40e-01| loss_qfl:0.4414| loss_bbox:0.5745| loss_dfl:0.2020| 
INFO:root:train|Epoch2/100|Iter97(40/56)| lr:1.40e-01| loss_qfl:0.4250| loss_bbox:0.5837| loss_dfl:0.2019| 
INFO:root:train|Epoch2/100|Iter107(50/56)| lr:1.40e-01| loss_qfl:0.4159| loss_bbox:0.5691| loss_dfl:0.1986| 
INFO:root:train|Epoch3/100|Iter113(0/56)| lr:1.40e-01| loss_qfl:0.4141| loss_bbox:0.5579| loss_dfl:0.2022| 
INFO:root:train|Epoch3/100|Iter123(10/56)| lr:1.40e-01| loss_qfl:0.3971| loss_bbox:0.5706| loss_dfl:0.1993| 
INFO:root:train|Epoch3/100|Iter133(20/56)| lr:1.40e-01| loss_qfl:0.3900| loss_bbox:0.5700| loss_dfl:0.1984| 
INFO:root:train|Epoch3/100|Iter143(30/56)| lr:1.40e-01| loss_qfl:0.3933| loss_bbox:0.5673| loss_dfl:0.1959| 
INFO:root:train|Epoch3/100|Iter153(40/56)| lr:1.40e-01| loss_qfl:0.3895| loss_bbox:0.5635| loss_dfl:0.1968| 
INFO:root:train|Epoch3/100|Iter163(50/56)| lr:1.40e-01| loss_qfl:0.4009| loss_bbox:0.5376| loss_dfl:0.1944| 
INFO:root:train|Epoch4/100|Iter169(0/56)| lr:1.40e-01| loss_qfl:0.4413| loss_bbox:0.5533| loss_dfl:0.1996| 
INFO:root:train|Epoch4/100|Iter179(10/56)| lr:1.40e-01| loss_qfl:0.3985| loss_bbox:0.5393| loss_dfl:0.1921| 
INFO:root:train|Epoch4/100|Iter189(20/56)| lr:1.40e-01| loss_qfl:0.3803| loss_bbox:0.5674| loss_dfl:0.1955| 
INFO:root:train|Epoch4/100|Iter199(30/56)| lr:1.40e-01| loss_qfl:0.3869| loss_bbox:0.5572| loss_dfl:0.1931| 
INFO:root:train|Epoch4/100|Iter209(40/56)| lr:1.40e-01| loss_qfl:0.3818| loss_bbox:0.5657| loss_dfl:0.1940| 
INFO:root:train|Epoch4/100|Iter219(50/56)| lr:1.40e-01| loss_qfl:0.4024| loss_bbox:0.5236| loss_dfl:0.1896| 
INFO:root:train|Epoch5/100|Iter225(0/56)| lr:1.40e-01| loss_qfl:0.4099| loss_bbox:0.4965| loss_dfl:0.1815| 
INFO:root:train|Epoch5/100|Iter235(10/56)| lr:1.40e-01| loss_qfl:0.3723| loss_bbox:0.5530| loss_dfl:0.1894| 
INFO:root:train|Epoch5/100|Iter245(20/56)| lr:1.40e-01| loss_qfl:0.3775| loss_bbox:0.5369| loss_dfl:0.1880| 
INFO:root:train|Epoch5/100|Iter255(30/56)| lr:1.40e-01| loss_qfl:0.3812| loss_bbox:0.5214| loss_dfl:0.1873| 
INFO:root:train|Epoch5/100|Iter265(40/56)| lr:1.40e-01| loss_qfl:0.3765| loss_bbox:0.5269| loss_dfl:0.1884| 
INFO:root:train|Epoch5/100|Iter275(50/56)| lr:1.40e-01| loss_qfl:0.3710| loss_bbox:0.5052| loss_dfl:0.1861| 
INFO:root:train|Epoch6/100|Iter281(0/56)| lr:1.40e-01| loss_qfl:0.3098| loss_bbox:0.5478| loss_dfl:0.1959| 
INFO:root:train|Epoch6/100|Iter291(10/56)| lr:1.40e-01| loss_qfl:0.3814| loss_bbox:0.5181| loss_dfl:0.1840| 
INFO:root:train|Epoch6/100|Iter301(20/56)| lr:1.40e-01| loss_qfl:0.3668| loss_bbox:0.5271| loss_dfl:0.1865| 
INFO:root:train|Epoch6/100|Iter311(30/56)| lr:1.40e-01| loss_qfl:0.3625| loss_bbox:0.5332| loss_dfl:0.1883| 
INFO:root:train|Epoch6/100|Iter321(40/56)| lr:1.40e-01| loss_qfl:0.3698| loss_bbox:0.5050| loss_dfl:0.1851| 
INFO:root:train|Epoch6/100|Iter331(50/56)| lr:1.40e-01| loss_qfl:0.3571| loss_bbox:0.5227| loss_dfl:0.1835| 
INFO:root:train|Epoch7/100|Iter337(0/56)| lr:1.40e-01| loss_qfl:0.3090| loss_bbox:0.5419| loss_dfl:0.1880| 
INFO:root:train|Epoch7/100|Iter347(10/56)| lr:1.40e-01| loss_qfl:0.3442| loss_bbox:0.5195| loss_dfl:0.1832| 
INFO:root:train|Epoch7/100|Iter357(20/56)| lr:1.40e-01| loss_qfl:0.3565| loss_bbox:0.5062| loss_dfl:0.1844| 
INFO:root:train|Epoch7/100|Iter367(30/56)| lr:1.40e-01| loss_qfl:0.3466| loss_bbox:0.5025| loss_dfl:0.1808| 
INFO:root:train|Epoch7/100|Iter377(40/56)| lr:1.40e-01| loss_qfl:0.3499| loss_bbox:0.4984| loss_dfl:0.1796| 
INFO:root:train|Epoch7/100|Iter387(50/56)| lr:1.40e-01| loss_qfl:0.3327| loss_bbox:0.5241| loss_dfl:0.1853| 
INFO:root:train|Epoch8/100|Iter393(0/56)| lr:1.40e-01| loss_qfl:0.3123| loss_bbox:0.5234| loss_dfl:0.1801| 
INFO:root:train|Epoch8/100|Iter403(10/56)| lr:1.40e-01| loss_qfl:0.3591| loss_bbox:0.4782| loss_dfl:0.1796| 
INFO:root:train|Epoch8/100|Iter413(20/56)| lr:1.40e-01| loss_qfl:0.3303| loss_bbox:0.5101| loss_dfl:0.1818| 
INFO:root:train|Epoch8/100|Iter423(30/56)| lr:1.40e-01| loss_qfl:0.3178| loss_bbox:0.5101| loss_dfl:0.1853| 
INFO:root:train|Epoch8/100|Iter433(40/56)| lr:1.40e-01| loss_qfl:0.3179| loss_bbox:0.5105| loss_dfl:0.1825| 
INFO:root:train|Epoch8/100|Iter443(50/56)| lr:1.40e-01| loss_qfl:0.3263| loss_bbox:0.4967| loss_dfl:0.1802| 
INFO:root:train|Epoch9/100|Iter449(0/56)| lr:1.40e-01| loss_qfl:0.3318| loss_bbox:0.4944| loss_dfl:0.1866| 
INFO:root:train|Epoch9/100|Iter459(10/56)| lr:1.40e-01| loss_qfl:0.3300| loss_bbox:0.4921| loss_dfl:0.1800| 
INFO:root:train|Epoch9/100|Iter469(20/56)| lr:1.40e-01| loss_qfl:0.3182| loss_bbox:0.4789| loss_dfl:0.1779| 
INFO:root:train|Epoch9/100|Iter479(30/56)| lr:1.40e-01| loss_qfl:0.2912| loss_bbox:0.5050| loss_dfl:0.1817| 
INFO:root:train|Epoch9/100|Iter489(40/56)| lr:1.40e-01| loss_qfl:0.3230| loss_bbox:0.4712| loss_dfl:0.1760| 
INFO:root:train|Epoch9/100|Iter499(50/56)| lr:1.40e-01| loss_qfl:0.3260| loss_bbox:0.4913| loss_dfl:0.1790| 
