INFO:root:Using Tensorboard, logs will be saved in workspace/20210413/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.17s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.03s)
INFO:root:Training batch size: 50
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/100)| lr:1.80e-02| loss_qfl:0.0389| loss_bbox:1.7258| loss_dfl:0.5191| 
INFO:root:warmup|Iter(11/100)| lr:3.04e-02| loss_qfl:0.0697| loss_bbox:1.6811| loss_dfl:0.4642| 
INFO:root:warmup|Iter(21/100)| lr:4.27e-02| loss_qfl:0.2151| loss_bbox:1.3878| loss_dfl:0.3362| 
INFO:root:warmup|Iter(31/100)| lr:5.50e-02| loss_qfl:0.2278| loss_bbox:1.2229| loss_dfl:0.2954| 
INFO:root:warmup|Iter(41/100)| lr:6.73e-02| loss_qfl:0.3136| loss_bbox:1.0341| loss_dfl:0.2694| 
INFO:root:warmup|Iter(51/100)| lr:7.96e-02| loss_qfl:0.4111| loss_bbox:0.9684| loss_dfl:0.2476| 
INFO:root:warmup|Iter(57/100)| lr:8.70e-02| loss_qfl:0.4529| loss_bbox:0.9848| loss_dfl:0.2433| 
INFO:root:warmup|Iter(67/100)| lr:9.93e-02| loss_qfl:0.3504| loss_bbox:0.9346| loss_dfl:0.2473| 
INFO:root:warmup|Iter(77/100)| lr:1.12e-01| loss_qfl:0.3727| loss_bbox:0.8423| loss_dfl:0.2277| 
INFO:root:warmup|Iter(87/100)| lr:1.24e-01| loss_qfl:0.4294| loss_bbox:0.8406| loss_dfl:0.2278| 
INFO:root:warmup|Iter(97/100)| lr:1.36e-01| loss_qfl:0.3934| loss_bbox:0.8333| loss_dfl:0.2275| 
INFO:root:train|Epoch1/200|Iter1(0/56)| lr:1.40e-01| loss_qfl:0.3873| loss_bbox:0.7763| loss_dfl:0.2143| 
INFO:root:train|Epoch1/200|Iter11(10/56)| lr:1.40e-01| loss_qfl:0.3800| loss_bbox:0.7476| loss_dfl:0.2115| 
INFO:root:train|Epoch1/200|Iter21(20/56)| lr:1.40e-01| loss_qfl:0.3813| loss_bbox:0.7420| loss_dfl:0.2135| 
INFO:root:train|Epoch1/200|Iter31(30/56)| lr:1.40e-01| loss_qfl:0.3660| loss_bbox:0.7482| loss_dfl:0.2082| 
INFO:root:train|Epoch1/200|Iter41(40/56)| lr:1.40e-01| loss_qfl:0.3814| loss_bbox:0.7292| loss_dfl:0.2099| 
INFO:root:train|Epoch1/200|Iter51(50/56)| lr:1.40e-01| loss_qfl:0.3495| loss_bbox:0.7127| loss_dfl:0.2077| 
INFO:root:train|Epoch2/200|Iter57(0/56)| lr:1.40e-01| loss_qfl:0.3318| loss_bbox:0.7222| loss_dfl:0.1986| 
INFO:root:train|Epoch2/200|Iter67(10/56)| lr:1.40e-01| loss_qfl:0.3655| loss_bbox:0.6883| loss_dfl:0.2005| 
INFO:root:train|Epoch2/200|Iter77(20/56)| lr:1.40e-01| loss_qfl:0.3777| loss_bbox:0.6646| loss_dfl:0.1927| 
INFO:root:train|Epoch2/200|Iter87(30/56)| lr:1.40e-01| loss_qfl:0.3667| loss_bbox:0.6645| loss_dfl:0.1945| 
INFO:root:train|Epoch2/200|Iter97(40/56)| lr:1.40e-01| loss_qfl:0.3714| loss_bbox:0.6457| loss_dfl:0.1903| 
INFO:root:train|Epoch2/200|Iter107(50/56)| lr:1.40e-01| loss_qfl:0.3568| loss_bbox:0.6643| loss_dfl:0.1935| 
INFO:root:train|Epoch3/200|Iter113(0/56)| lr:1.40e-01| loss_qfl:0.3410| loss_bbox:0.6747| loss_dfl:0.1908| 
INFO:root:train|Epoch3/200|Iter123(10/56)| lr:1.40e-01| loss_qfl:0.3574| loss_bbox:0.6440| loss_dfl:0.1916| 
INFO:root:train|Epoch3/200|Iter133(20/56)| lr:1.40e-01| loss_qfl:0.3634| loss_bbox:0.6302| loss_dfl:0.1928| 
INFO:root:train|Epoch3/200|Iter143(30/56)| lr:1.40e-01| loss_qfl:0.3762| loss_bbox:0.6302| loss_dfl:0.1872| 
INFO:root:train|Epoch3/200|Iter153(40/56)| lr:1.40e-01| loss_qfl:0.3794| loss_bbox:0.6352| loss_dfl:0.1885| 
INFO:root:train|Epoch3/200|Iter163(50/56)| lr:1.40e-01| loss_qfl:0.3668| loss_bbox:0.6304| loss_dfl:0.1861| 
INFO:root:train|Epoch4/200|Iter169(0/56)| lr:1.40e-01| loss_qfl:0.3827| loss_bbox:0.6375| loss_dfl:0.1945| 
INFO:root:train|Epoch4/200|Iter179(10/56)| lr:1.40e-01| loss_qfl:0.3790| loss_bbox:0.6095| loss_dfl:0.1867| 
INFO:root:train|Epoch4/200|Iter189(20/56)| lr:1.40e-01| loss_qfl:0.3839| loss_bbox:0.5890| loss_dfl:0.1833| 
INFO:root:train|Epoch4/200|Iter199(30/56)| lr:1.40e-01| loss_qfl:0.3797| loss_bbox:0.5746| loss_dfl:0.1834| 
INFO:root:train|Epoch4/200|Iter209(40/56)| lr:1.40e-01| loss_qfl:0.3732| loss_bbox:0.5682| loss_dfl:0.1797| 
INFO:root:train|Epoch4/200|Iter219(50/56)| lr:1.40e-01| loss_qfl:0.3610| loss_bbox:0.6106| loss_dfl:0.1828| 
INFO:root:train|Epoch5/200|Iter225(0/56)| lr:1.40e-01| loss_qfl:0.3751| loss_bbox:0.5407| loss_dfl:0.1708| 
INFO:root:train|Epoch5/200|Iter235(10/56)| lr:1.40e-01| loss_qfl:0.3499| loss_bbox:0.6076| loss_dfl:0.1852| 
INFO:root:train|Epoch5/200|Iter245(20/56)| lr:1.40e-01| loss_qfl:0.3751| loss_bbox:0.5585| loss_dfl:0.1749| 
INFO:root:train|Epoch5/200|Iter255(30/56)| lr:1.40e-01| loss_qfl:0.3582| loss_bbox:0.5967| loss_dfl:0.1815| 
INFO:root:train|Epoch5/200|Iter265(40/56)| lr:1.40e-01| loss_qfl:0.3522| loss_bbox:0.5823| loss_dfl:0.1802| 
INFO:root:train|Epoch5/200|Iter275(50/56)| lr:1.40e-01| loss_qfl:0.3642| loss_bbox:0.5887| loss_dfl:0.1814| 
INFO:root:train|Epoch6/200|Iter281(0/56)| lr:1.40e-01| loss_qfl:0.3541| loss_bbox:0.6131| loss_dfl:0.1770| 
INFO:root:train|Epoch6/200|Iter291(10/56)| lr:1.40e-01| loss_qfl:0.3484| loss_bbox:0.5825| loss_dfl:0.1826| 
INFO:root:train|Epoch6/200|Iter301(20/56)| lr:1.40e-01| loss_qfl:0.3565| loss_bbox:0.5898| loss_dfl:0.1816| 
